Linux frea03.rutgers.edu 2.6.32-71.el6.i686 #1 SMP Tue Nov 23 06:43:11 CST 2010 i686 i686 i386 GNU/Linux
Linux frea05.rutgers.edu 2.6.32-71.el6.i686 #1 SMP Tue Nov 23 06:43:11 CST 2010 i686 i686 i386 GNU/Linux
Clock tick is 1.000e-06

trial,msglen,compsize
035,002,00127
035,003,00123
035,004,00122
035,005,00123
035,006,00123
035,007,00125
035,008,00120
035,009,00128

trial,msglen,compsize
036,0000012,000

trial,iter,ticks
036,001,00093
036,002,00049
036,003,00061
036,004,00057
036,005,00049
036,006,00061
036,007,00057
036,008,00051
036,009,00059

trial,msglen,compsize
037,0000012,000

trial,iter,ticks
037,001,00057
037,002,00057
037,003,00056
037,004,00056
037,005,00056
037,006,00057
037,007,00050
037,008,00057
037,009,00056

trial,msglen,compsize
038,0000013,000

trial,iter,ticks
038,001,00046
038,002,00049
038,003,00533
038,004,00046
038,005,00126
038,006,00138
038,007,00093
038,008,00141
038,009,00092

trial,msglen,compsize
039,0000014,000

trial,iter,ticks
039,001,00090
039,002,00051
039,003,00061
039,004,00042
039,005,00058
039,006,00057
039,007,00059
039,008,00057
039,009,00056

trial,msglen,compsize
040,0000016,000

trial,iter,ticks
040,001,00070
040,002,00072
040,003,00058
040,004,00060
040,005,00056
040,006,00049
040,007,00057
040,008,00057
040,009,00056

trial,msglen,compsize
041,0000017,000

trial,iter,ticks
041,001,00087
041,002,00061
041,003,00058
041,004,00529
041,005,00154
041,006,00123
041,007,00159
041,008,00095
041,009,00131

trial,msglen,compsize
042,0000018,000

trial,iter,ticks
042,001,00122
042,002,00049
042,003,00058
042,004,00057
042,005,00061
042,006,00056
042,007,00056
042,008,00055
042,009,00084

trial,msglen,compsize
043,0000019,000

trial,iter,ticks
043,001,00046
043,002,00048
043,003,00066
043,004,00058
043,005,00056
043,006,00057
043,007,00056
043,008,00056
043,009,00047

trial,msglen,compsize
044,0000021,000

trial,iter,ticks
044,001,00088
044,002,00052
044,003,00060
044,004,00055
044,005,00054
044,006,00061
044,007,00061
044,008,00059
044,009,00049

trial,msglen,compsize
045,0000022,000

trial,iter,ticks
045,001,00044
045,002,00060
045,003,00059
045,004,00513
045,005,00169
045,006,00092
045,007,00154
045,008,00094
045,009,00128

trial,msglen,compsize
046,0000024,000

trial,iter,ticks
046,001,00092
046,002,00049
046,003,00062
046,004,00059
046,005,00057
046,006,00058
046,007,00056
046,008,00060
046,009,00056

trial,msglen,compsize
047,0000025,000

trial,iter,ticks
047,001,00046
047,002,00077
047,003,00046
